"family.id" "actor.id" "partner.id" "anx1" "anx2"
14 "f" "m" 1 1
14 "f" "y" 1.33333333333333 1
14 "m" "f" 2.33333333333333 2.33333333333333
14 "m" "y" 1.66666666666667 2
14 "y" "f" 1 1
14 "y" "m" 1 1
15 "f" "m" 1 1
15 "f" "y" 1 1
15 "m" "f" 1 1
15 "m" "y" 1.33333333333333 1
15 "y" "f" 2.66666666666667 2
15 "y" "m" 1 1
16 "f" "m" 1 1
16 "f" "y" 1.33333333333333 1.66666666666667
16 "m" "f" 1 1
16 "m" "y" 1.33333333333333 1
16 "y" "f" 1 1.66666666666667
16 "y" "m" 1 1
17 "f" "m" 3.33333333333333 3
17 "f" "y" 1 1
17 "m" "f" 2.33333333333333 1
17 "m" "y" 1 1
17 "y" "f" 1 1
17 "y" "m" 1 1
18 "f" "m" 3 3
18 "f" "y" 2.33333333333333 2
18 "m" "f" 1.66666666666667 2.66666666666667
18 "m" "y" 2.33333333333333 1.66666666666667
18 "y" "f" 2 2.33333333333333
18 "y" "m" 2.66666666666667 2.33333333333333
19 "f" "m" 2.33333333333333 2
19 "f" "y" 3 3.33333333333333
19 "m" "f" 1.33333333333333 1
19 "m" "y" 3.33333333333333 1.33333333333333
19 "y" "f" 1.33333333333333 1
19 "y" "m" 1 1
20 "f" "m" 4.33333333333333 4.33333333333333
20 "f" "y" 1 1
20 "m" "f" 2 3
20 "m" "y" 1 1
20 "y" "f" 1 2.33333333333333
20 "y" "m" 1.66666666666667 2.66666666666667
21 "f" "m" 1.66666666666667 1
21 "f" "y" 2 2
21 "m" "f" 1.66666666666667 1.33333333333333
21 "m" "y" 1.66666666666667 1.33333333333333
21 "y" "f" 2 2.66666666666667
21 "y" "m" 2.33333333333333 2
22 "f" "m" 1 1
22 "f" "y" 2.33333333333333 2
22 "m" "f" 2 2.66666666666667
22 "m" "y" 2.66666666666667 2.66666666666667
22 "y" "f" 3 2
22 "y" "m" 2 2.66666666666667
23 "f" "m" 1.33333333333333 1.66666666666667
23 "f" "y" 2.33333333333333 2
23 "m" "f" 1 1.33333333333333
23 "m" "y" 1.66666666666667 1
23 "y" "f" 2.66666666666667 2.33333333333333
23 "y" "m" 1.66666666666667 2
24 "f" "m" 1.66666666666667 2.33333333333333
24 "f" "y" 1.66666666666667 1
24 "m" "f" 1 1
24 "m" "y" 1.33333333333333 1
24 "y" "f" 1.33333333333333 1
24 "y" "m" 1 1
25 "f" "m" 1 1
25 "f" "y" 1.33333333333333 2
25 "m" "f" 1 1
25 "m" "y" 1.33333333333333 1
25 "y" "f" 1.66666666666667 1
25 "y" "m" 1.33333333333333 1
26 "f" "m" 2 2.33333333333333
26 "f" "y" 2 1
26 "m" "f" 2.66666666666667 1.66666666666667
26 "m" "y" 2.66666666666667 1
26 "y" "f" 1.66666666666667 1.66666666666667
26 "y" "m" 1.33333333333333 1.66666666666667
27 "f" "m" 1 1.33333333333333
27 "f" "y" 2 1.33333333333333
27 "m" "f" 1.33333333333333 1.33333333333333
27 "m" "y" 1.66666666666667 1
27 "y" "f" 1.66666666666667 2
27 "y" "m" 1.66666666666667 1.66666666666667
28 "f" "m" 2 2.33333333333333
28 "f" "y" 2.66666666666667 2.66666666666667
28 "m" "f" 2 2.66666666666667
28 "m" "y" 4.66666666666667 4.66666666666667
28 "y" "f" 2 3.33333333333333
28 "y" "m" 2 4
29 "f" "m" 1.33333333333333 2
29 "f" "y" 3.33333333333333 4
29 "m" "f" 1 1
29 "m" "y" 2.66666666666667 1.66666666666667
29 "y" "f" 1.66666666666667 1
29 "y" "m" 1 1.33333333333333
30 "f" "m" 2.33333333333333 2.33333333333333
30 "f" "y" 1.33333333333333 1
30 "m" "f" 2 2
30 "m" "y" 2.33333333333333 2
30 "y" "f" 1 1
30 "y" "m" 1 1
31 "f" "m" 2.66666666666667 2.66666666666667
31 "f" "y" 2.66666666666667 2.66666666666667
31 "m" "f" 1 2
31 "m" "y" 2 2.33333333333333
31 "y" "f" 3 3.33333333333333
31 "y" "m" 1.66666666666667 1.66666666666667
32 "f" "m" 1 1
32 "f" "y" 3 2.66666666666667
32 "m" "f" 1.66666666666667 1
32 "m" "y" 1.33333333333333 1.33333333333333
32 "y" "f" 1.33333333333333 1.33333333333333
32 "y" "m" 1.33333333333333 1.33333333333333
33 "f" "m" 2.66666666666667 3.33333333333333
33 "f" "y" 2.66666666666667 2
33 "m" "f" 2.33333333333333 2
33 "m" "y" 2 2
33 "y" "f" 2 1.66666666666667
33 "y" "m" 1 2
34 "f" "m" 1.66666666666667 1.66666666666667
34 "f" "y" 1.66666666666667 2
34 "m" "f" 1 1
34 "m" "y" 1 1
34 "y" "f" 1.66666666666667 3
34 "y" "m" 3.33333333333333 3.66666666666667
35 "f" "m" 1 1
35 "f" "y" 1.66666666666667 1
35 "m" "f" 2 2.33333333333333
35 "m" "y" 1.33333333333333 1.66666666666667
35 "y" "f" 1 1
35 "y" "m" 1 1
36 "f" "m" 1.33333333333333 1
36 "f" "y" 1.33333333333333 1.66666666666667
36 "m" "f" 1.66666666666667 1.33333333333333
36 "m" "y" 1.33333333333333 1.33333333333333
36 "y" "f" 2.33333333333333 3
36 "y" "m" 3.66666666666667 4
37 "f" "m" 3 2
37 "f" "y" 3 3
37 "m" "f" 2.33333333333333 2.66666666666667
37 "m" "y" 1 1
37 "y" "f" 1.66666666666667 2
37 "y" "m" 1.66666666666667 1.66666666666667
38 "f" "m" 1 1
38 "f" "y" 1.33333333333333 1.66666666666667
38 "m" "f" 1 1
38 "m" "y" 1 1
38 "y" "f" 1 1
38 "y" "m" 1 1
39 "f" "m" 1 1
39 "f" "y" 1 1
39 "m" "f" 4.33333333333333 4.66666666666667
39 "m" "y" 3.33333333333333 4
39 "y" "f" 2.66666666666667 3
39 "y" "m" 3.33333333333333 2.66666666666667
40 "f" "m" 4.66666666666667 4.66666666666667
40 "f" "y" 2.66666666666667 3.66666666666667
40 "m" "f" 3.33333333333333 2.66666666666667
40 "m" "y" 2.33333333333333 2.66666666666667
40 "y" "f" 2.66666666666667 3
40 "y" "m" 1 1
41 "f" "m" 1 1.33333333333333
41 "f" "y" 2 1.33333333333333
41 "m" "f" 1 1
41 "m" "y" 1 1
41 "y" "f" 2.66666666666667 2.33333333333333
41 "y" "m" 2 2.33333333333333
42 "f" "m" 1.33333333333333 1.33333333333333
42 "f" "y" 2 1.33333333333333
42 "m" "f" 4.33333333333333 1.66666666666667
42 "m" "y" 2.66666666666667 2.66666666666667
42 "y" "f" 3.66666666666667 5
42 "y" "m" 1 3.66666666666667
43 "f" "m" 1 1.33333333333333
43 "f" "y" 4.33333333333333 4
43 "m" "f" 1 1
43 "m" "y" 2.33333333333333 2.33333333333333
43 "y" "f" 3 2
43 "y" "m" 1.66666666666667 2.33333333333333
44 "f" "m" 1.33333333333333 1.33333333333333
44 "f" "y" 1.33333333333333 1
44 "m" "f" 2 2
44 "m" "y" 1.66666666666667 1.66666666666667
44 "y" "f" 3 3.33333333333333
44 "y" "m" 3 3.33333333333333
45 "f" "m" 2.33333333333333 2
45 "f" "y" 3.33333333333333 3
45 "m" "f" 1 1
45 "m" "y" 1.33333333333333 1.33333333333333
45 "y" "f" 3.33333333333333 3
45 "y" "m" 3.33333333333333 3.66666666666667
46 "f" "m" 2.33333333333333 2
46 "f" "y" 2 1.66666666666667
46 "m" "f" 3 5
46 "m" "y" 2.33333333333333 1.66666666666667
46 "y" "f" 3.33333333333333 4
46 "y" "m" 3.33333333333333 1.33333333333333
47 "f" "m" 1 1
47 "f" "y" 2.33333333333333 3
47 "m" "f" 1 1
47 "m" "y" 2.33333333333333 1.33333333333333
47 "y" "f" 1 1
47 "y" "m" 1.33333333333333 2
48 "f" "m" 1 1
48 "f" "y" 1 1
48 "m" "f" 1.33333333333333 1
48 "m" "y" 2 2.33333333333333
48 "y" "f" 1.66666666666667 1
48 "y" "m" 1 1
49 "f" "m" 2 1
49 "f" "y" 1.66666666666667 1
49 "m" "f" 2.66666666666667 2
49 "m" "y" 2.33333333333333 1.66666666666667
49 "y" "f" 2 1.66666666666667
49 "y" "m" 1.33333333333333 1
50 "f" "m" 2 2
50 "f" "y" 2.66666666666667 2
50 "m" "f" 1 1
50 "m" "y" 2 1.66666666666667
50 "y" "f" 3 2
50 "y" "m" 1 2
51 "f" "m" 1 1
51 "f" "y" 1 2.33333333333333
51 "m" "f" 2 2
51 "m" "y" 1.66666666666667 2
51 "y" "f" 1.33333333333333 1.949177877429
51 "y" "m" 1 1.33333333333333
52 "f" "m" 1 1
52 "f" "y" 1 1
52 "m" "f" 2 1.66666666666667
52 "m" "y" 3.33333333333333 3.66666666666667
52 "y" "f" 2 2
52 "y" "m" 2 2
53 "f" "m" 2 2
53 "f" "y" 1 1.33333333333333
53 "m" "f" 2.33333333333333 1
53 "m" "y" 1 1.33333333333333
53 "y" "f" 1.66666666666667 1
53 "y" "m" 1.33333333333333 1
54 "f" "m" 2.33333333333333 2
54 "f" "y" 2.66666666666667 2.33333333333333
54 "m" "f" 3.33333333333333 3.66666666666667
54 "m" "y" 2 1.66666666666667
54 "y" "f" 2.33333333333333 3
54 "y" "m" 1.33333333333333 1.66666666666667
55 "f" "m" 2.33333333333333 3.33333333333333
55 "f" "y" 1 1
55 "m" "f" 1 1
55 "m" "y" 1 1
55 "y" "f" 1 1
55 "y" "m" 1.33333333333333 1
56 "f" "m" 1.33333333333333 1
56 "f" "y" 1.33333333333333 1
56 "m" "f" 2.33333333333333 2.33333333333333
56 "m" "y" 1 1
56 "y" "f" 1 1
56 "y" "m" 1 1
57 "f" "m" 1 1.33333333333333
57 "f" "y" 1.66666666666667 1.66666666666667
57 "m" "f" 2.66666666666667 1
57 "m" "y" 2.33333333333333 1.66666666666667
57 "y" "f" 2 1.66666666666667
57 "y" "m" 1 1
58 "f" "m" 3.33333333333333 2.66666666666667
58 "f" "y" 3 2
58 "m" "f" 1.33333333333333 1
58 "m" "y" 2 1
58 "y" "f" 1.66666666666667 1.66666666666667
58 "y" "m" 1.33333333333333 1
59 "f" "m" 2.33333333333333 2.66666666666667
59 "f" "y" 1.66666666666667 1
59 "m" "f" 1.33333333333333 2.33333333333333
59 "m" "y" 1 1
59 "y" "f" 2.33333333333333 1
59 "y" "m" 1.66666666666667 1.33333333333333
60 "f" "m" 1.66666666666667 1.66666666666667
60 "f" "y" 2.66666666666667 2.66666666666667
60 "m" "f" 1 1
60 "m" "y" 1.66666666666667 2
60 "y" "f" 2.33333333333333 3.66666666666667
60 "y" "m" 2 3.66666666666667
61 "f" "m" 1 1
61 "f" "y" 1.66666666666667 1.66666666666667
61 "m" "f" 1.66666666666667 2.33333333333333
61 "m" "y" 1.66666666666667 2
61 "y" "f" 2.33333333333333 2.66666666666667
61 "y" "m" 1.33333333333333 1.33333333333333
62 "f" "m" 1.33333333333333 1
62 "f" "y" 3 2.66666666666667
62 "m" "f" 2 1
62 "m" "y" 3 2
62 "y" "f" 3.33333333333333 4
62 "y" "m" 1 2.33333333333333
63 "f" "m" 1.33333333333333 1
63 "f" "y" 3.66666666666667 3
63 "m" "f" 2 1.33333333333333
63 "m" "y" 2.66666666666667 2.33333333333333
63 "y" "f" 2.66666666666667 3
63 "y" "m" 2.33333333333333 1.66666666666667
64 "f" "m" 5 5
64 "f" "y" 1.66666666666667 1.66666666666667
64 "m" "f" 2 2
64 "m" "y" 2 2
64 "y" "f" 2.33333333333333 1
64 "y" "m" 1.33333333333333 1.33333333333333
65 "f" "m" 1 1
65 "f" "y" 1.66666666666667 1.33333333333333
65 "m" "f" 2 2.33333333333333
65 "m" "y" 2 1.66666666666667
65 "y" "f" 1.33333333333333 3
65 "y" "m" 1 1
66 "f" "m" 3 3
66 "f" "y" 3.33333333333333 3.66666666666667
66 "m" "f" 3 3
66 "m" "y" 3.33333333333333 4
66 "y" "f" 2.33333333333333 2
66 "y" "m" 1.66666666666667 1.66666666666667
67 "f" "m" 1 1.33333333333333
67 "f" "y" 2.33333333333333 2
67 "m" "f" 1 1
67 "m" "y" 3.33333333333333 4
67 "y" "f" 1.33333333333333 1.66666666666667
67 "y" "m" 2.51190476190476 4.33333333333333
68 "f" "m" 1 1
68 "f" "y" 2 1.66666666666667
68 "m" "f" 3.33333333333333 2.66666666666667
68 "m" "y" 3 4.33333333333333
68 "y" "f" 1.33333333333333 1.66666666666667
68 "y" "m" 1.66666666666667 1.33333333333333
69 "f" "m" 3 3
69 "f" "y" 2.66666666666667 2.33333333333333
69 "m" "f" 3.66666666666667 4
69 "m" "y" 3 2
69 "y" "f" 3.33333333333333 3.66666666666667
69 "y" "m" 1.66666666666667 4.33333333333333
70 "f" "m" 2.66666666666667 3.66666666666667
70 "f" "y" 1.33333333333333 2.66666666666667
70 "m" "f" 1.33333333333333 1.33333333333333
70 "m" "y" 2 1.33333333333333
70 "y" "f" 1 1.66666666666667
70 "y" "m" 1.66666666666667 2
71 "f" "m" 2.33333333333333 2.66666666666667
71 "f" "y" 2 2.33333333333333
71 "m" "f" 3.33333333333333 3
71 "m" "y" 3 2.66666666666667
71 "y" "f" 2 1.33333333333333
71 "y" "m" 2.66666666666667 1.33333333333333
72 "f" "m" 1.66666666666667 1
72 "f" "y" 2 2.31981981981982
72 "m" "f" 1.33333333333333 1.33333333333333
72 "m" "y" 1.33333333333333 1.66666666666667
72 "y" "f" 2 2.33333333333333
72 "y" "m" 1.66666666666667 1.66666666666667
73 "f" "m" 1.66666666666667 1.66666666666667
73 "f" "y" 1.33333333333333 1.33333333333333
73 "m" "f" 1.66666666666667 1.33333333333333
73 "m" "y" 2.33333333333333 2
73 "y" "f" 1.33333333333333 1
73 "y" "m" 1.33333333333333 1.66666666666667
74 "f" "m" 1.66666666666667 2.66666666666667
74 "f" "y" 2.33333333333333 1.66666666666667
74 "m" "f" 4 2
74 "m" "y" 1.66666666666667 1.33333333333333
74 "y" "f" 1.66666666666667 1.33333333333333
74 "y" "m" 1.66666666666667 1.66666666666667
75 "f" "m" 1 1
75 "f" "y" 1 1
75 "m" "f" 1 1
75 "m" "y" 1 1
75 "y" "f" 1.33333333333333 1
75 "y" "m" 1 1
76 "f" "m" 1 1.33333333333333
76 "f" "y" 1.66666666666667 1.66666666666667
76 "m" "f" 3 1.33333333333333
76 "m" "y" 1.33333333333333 1
76 "y" "f" 2.66666666666667 3
76 "y" "m" 1.66666666666667 2
77 "f" "m" 3.66666666666667 4
77 "f" "y" 2.33333333333333 2
77 "m" "f" 2 2.33333333333333
77 "m" "y" 2.66666666666667 3
77 "y" "f" 3 3
77 "y" "m" 2.66666666666667 2.66666666666667
78 "f" "m" 1 1
78 "f" "y" 1.33333333333333 1
78 "m" "f" 1 1
78 "m" "y" 1 1
78 "y" "f" 2 1
78 "y" "m" 1.66666666666667 1
79 "f" "m" 3.33333333333333 5
79 "f" "y" 4 1.66666666666667
79 "m" "f" 2.33333333333333 1.51788268955651
79 "m" "y" 3 4.66666666666667
79 "y" "f" 2.66666666666667 3.33333333333333
79 "y" "m" 3.33333333333333 3.66666666666667
80 "f" "m" 1 1
80 "f" "y" 1.33333333333333 1
80 "m" "f" 2.33333333333333 1.66666666666667
80 "m" "y" 2.66666666666667 2.33333333333333
80 "y" "f" 1.66666666666667 1.33333333333333
80 "y" "m" 1.33333333333333 1.33333333333333
81 "f" "m" 1.33333333333333 2.33333333333333
81 "f" "y" 1.66666666666667 2.33333333333333
81 "m" "f" 2 1
81 "m" "y" 1 1
81 "y" "f" 1 2.33333333333333
81 "y" "m" 2.33333333333333 1.33333333333333
82 "f" "m" 2 2
82 "f" "y" 2.66666666666667 2.33333333333333
82 "m" "f" 2.33333333333333 2
82 "m" "y" 2.66666666666667 2
82 "y" "f" 3.66666666666667 4.66666666666667
82 "y" "m" 2.33333333333333 2.66666666666667
83 "f" "m" 3 4.66666666666667
83 "f" "y" 1.66666666666667 2.33333333333333
83 "m" "f" 1 1
83 "m" "y" 1 1
83 "y" "f" 1.43303571428571 1
83 "y" "m" 1.66666666666667 1.33333333333333
84 "f" "m" 1 1
84 "f" "y" 1.33333333333333 1
84 "m" "f" 1.66666666666667 2
84 "m" "y" 1.33333333333333 2.33333333333333
84 "y" "f" 1.33333333333333 1.33333333333333
84 "y" "m" 1.33333333333333 1
85 "f" "m" 2 2
85 "f" "y" 1.66666666666667 2.33333333333333
85 "m" "f" 1 1
85 "m" "y" 1.33333333333333 1.66666666666667
85 "y" "f" 1 1
85 "y" "m" 1 1
86 "f" "m" 1.66666666666667 1
86 "f" "y" 1.66666666666667 2
86 "m" "f" 1 2.33333333333333
86 "m" "y" 1.66666666666667 1.66666666666667
86 "y" "f" 2 2
86 "y" "m" 2 2
87 "f" "m" 3.33333333333333 3.66666666666667
87 "f" "y" 2.66666666666667 3
87 "m" "f" 2.33333333333333 1
87 "m" "y" 1.66666666666667 1
87 "y" "f" 2.33333333333333 1.66666666666667
87 "y" "m" 2 2.33333333333333
88 "f" "m" 1.33333333333333 1
88 "f" "y" 1 1
88 "m" "f" 1 1
88 "m" "y" 2.33333333333333 2.33333333333333
88 "y" "f" 2 1.66666666666667
88 "y" "m" 2.33333333333333 2
89 "f" "m" 1.66666666666667 1
89 "f" "y" 1 1
89 "m" "f" 2 2
89 "m" "y" 1 1
89 "y" "f" 2 2
89 "y" "m" 1 1
90 "f" "m" 1 1
90 "f" "y" 1.33333333333333 1
90 "m" "f" 1.66666666666667 1
90 "m" "y" 1 1
90 "y" "f" 1.66666666666667 1.33333333333333
90 "y" "m" 1 1
91 "f" "m" 2.33333333333333 3
91 "f" "y" 2 1.66666666666667
91 "m" "f" 2.33333333333333 2
91 "m" "y" 2.66666666666667 3.33333333333333
91 "y" "f" 2 1.66666666666667
91 "y" "m" 1.33333333333333 1
92 "f" "m" 2.33333333333333 3
92 "f" "y" 2.33333333333333 2.66666666666667
92 "m" "f" 3 2.66666666666667
92 "m" "y" 3.66666666666667 3
92 "y" "f" 2.33333333333333 3
92 "y" "m" 2.33333333333333 2.66666666666667
93 "f" "m" 2.33333333333333 1.33333333333333
93 "f" "y" 1.66666666666667 1
93 "m" "f" 1 1
93 "m" "y" 2 1
93 "y" "f" 1.66666666666667 1.66666666666667
93 "y" "m" 1.66666666666667 1
94 "f" "m" 2 1
94 "f" "y" 3 2.33333333333333
94 "m" "f" 2.33333333333333 1.33333333333333
94 "m" "y" 2.33333333333333 1.66666666666667
94 "y" "f" 4.66666666666667 4
94 "y" "m" 2.33333333333333 4.33333333333333
95 "f" "m" 2.33333333333333 1.66666666666667
95 "f" "y" 3.33333333333333 3.33333333333333
95 "m" "f" 1.66666666666667 2
95 "m" "y" 2.66666666666667 2.66666666666667
95 "y" "f" 2.33333333333333 2
95 "y" "m" 2 2.33333333333333
96 "f" "m" 2.33333333333333 1.33333333333333
96 "f" "y" 3 3
96 "m" "f" 1.33333333333333 1
96 "m" "y" 1.33333333333333 1
96 "y" "f" 1.33333333333333 1
96 "y" "m" 1.66666666666667 1.66666666666667
97 "f" "m" 1.33333333333333 1.66666666666667
97 "f" "y" 1.66666666666667 1.66666666666667
97 "m" "f" 1.66666666666667 1
97 "m" "y" 1.33333333333333 1
97 "y" "f" 2.33333333333333 1.33333333333333
97 "y" "m" 1.33333333333333 1.33333333333333
98 "f" "m" 1.33333333333333 1
98 "f" "y" 1.66666666666667 1
98 "m" "f" 1 1
98 "m" "y" 1 1
98 "y" "f" 1 1
98 "y" "m" 1 1
99 "f" "m" 2 1.66666666666667
99 "f" "y" 2 1.33333333333333
99 "m" "f" 1 1
99 "m" "y" 1.66666666666667 1
99 "y" "f" 1.66666666666667 1
99 "y" "m" 1.66666666666667 1.66666666666667
100 "f" "m" 1 1
100 "f" "y" 2 1.33333333333333
100 "m" "f" 4 3
100 "m" "y" 2.33333333333333 2
100 "y" "f" 2.66666666666667 2
100 "y" "m" 2.33333333333333 1.66666666666667
101 "f" "m" 1.33333333333333 1
101 "f" "y" 2 1.66666666666667
101 "m" "f" 2 2
101 "m" "y" 2.33333333333333 2
101 "y" "f" 1.33333333333333 1
101 "y" "m" 1 1
102 "f" "m" 1 1
102 "f" "y" 1.66666666666667 1
102 "m" "f" 1 1.33333333333333
102 "m" "y" 2.33333333333333 2.33333333333333
102 "y" "f" 2.66666666666667 3.33333333333333
102 "y" "m" 1.33333333333333 1.66666666666667
103 "f" "m" 1 1
103 "f" "y" 1.33333333333333 2
103 "m" "f" 1 1
103 "m" "y" 1 1
103 "y" "f" 2.33333333333333 3
103 "y" "m" 2.33333333333333 1
104 "f" "m" 1.66666666666667 1.33333333333333
104 "f" "y" 1.33333333333333 1
104 "m" "f" 1.33333333333333 1
104 "m" "y" 2.33333333333333 1
104 "y" "f" 1 1.66666666666667
104 "y" "m" 1 1
105 "f" "m" 2.66666666666667 2
105 "f" "y" 2.66666666666667 1.66666666666667
105 "m" "f" 2 2
105 "m" "y" 3 3.66666666666667
105 "y" "f" 1 1
105 "y" "m" 2.66666666666667 1.66666666666667
106 "f" "m" 1.33333333333333 1
106 "f" "y" 1 1
106 "m" "f" 2.33333333333333 2.33333333333333
106 "m" "y" 2 2.33333333333333
106 "y" "f" 1.33333333333333 1.66666666666667
106 "y" "m" 1.33333333333333 1.33333333333333
107 "f" "m" 2 2.66666666666667
107 "f" "y" 4 3.33333333333333
107 "m" "f" 4 4
107 "m" "y" 2.33333333333333 2.66666666666667
107 "y" "f" 2.66666666666667 3.33333333333333
107 "y" "m" 3 2.66666666666667
108 "f" "m" 1 1
108 "f" "y" 2.33333333333333 3.33333333333333
108 "m" "f" 2.33333333333333 1
108 "m" "y" 1 1
108 "y" "f" 1.66666666666667 2
108 "y" "m" 1.33333333333333 1.33333333333333
109 "f" "m" 1 1
109 "f" "y" 2.33333333333333 3
109 "m" "f" 1 1
109 "m" "y" 2.33333333333333 1.66666666666667
109 "y" "f" 1.66666666666667 1.66666666666667
109 "y" "m" 1 1
110 "f" "m" 1.33333333333333 2
110 "f" "y" 3 2
110 "m" "f" 3.66666666666667 2
110 "m" "y" 3.33333333333333 4
110 "y" "f" 2 1.33333333333333
110 "y" "m" 2 1.66666666666667
111 "f" "m" 2.66666666666667 1.66666666666667
111 "f" "y" 2.33333333333333 2.33333333333333
111 "m" "f" 2.33333333333333 3
111 "m" "y" 2.33333333333333 2.33333333333333
111 "y" "f" 2 1
111 "y" "m" 2.33333333333333 1
112 "f" "m" 1.66666666666667 1.33333333333333
112 "f" "y" 2.66666666666667 2.66666666666667
112 "m" "f" 2 1
112 "m" "y" 1.33333333333333 1
112 "y" "f" 3.66666666666667 3.66666666666667
112 "y" "m" 1.33333333333333 1
113 "f" "m" 3.33333333333333 3
113 "f" "y" 2.33333333333333 1.66666666666667
113 "m" "f" 3.66666666666667 4.33333333333333
113 "m" "y" 1 1
113 "y" "f" 3 3
113 "y" "m" 2 2
114 "f" "m" 1.66666666666667 1
114 "f" "y" 3 2.33333333333333
114 "m" "f" 1 1
114 "m" "y" 1.33333333333333 2.33333333333333
114 "y" "f" 1 1
114 "y" "m" 1 1
115 "f" "m" 2.66666666666667 2.66666666666667
115 "f" "y" 2.33333333333333 2.66666666666667
115 "m" "f" 2 2.33333333333333
115 "m" "y" 1.66666666666667 1
115 "y" "f" 1.66666666666667 2.33333333333333
115 "y" "m" 1 1
116 "f" "m" 1.33333333333333 1
116 "f" "y" 1.66666666666667 2
116 "m" "f" 1 1
116 "m" "y" 1.33333333333333 2
116 "y" "f" 2.66666666666667 3
116 "y" "m" 1.33333333333333 1
117 "f" "m" 2.66666666666667 2
117 "f" "y" 3.66666666666667 3.66666666666667
117 "m" "f" 1.33333333333333 1
117 "m" "y" 3.33333333333333 3
117 "y" "f" 1.66666666666667 2
117 "y" "m" 2 2
118 "f" "m" 1.66666666666667 1.33333333333333
118 "f" "y" 3.66666666666667 3
118 "m" "f" 1 1
118 "m" "y" 2.33333333333333 1.33333333333333
118 "y" "f" 1 1
118 "y" "m" 1 1
119 "f" "m" 2.66666666666667 2.33333333333333
119 "f" "y" 2.33333333333333 1.66666666666667
119 "m" "f" 1 1.33333333333333
119 "m" "y" 1.33333333333333 1.33333333333333
119 "y" "f" 1.33333333333333 1.33333333333333
119 "y" "m" 1.66666666666667 2
120 "f" "m" 2.33333333333333 1.66666666666667
120 "f" "y" 1 1
120 "m" "f" 1.66666666666667 1.66666666666667
120 "m" "y" 2.66666666666667 2
120 "y" "f" 1.66666666666667 2
120 "y" "m" 1.33333333333333 1.66666666666667
121 "f" "m" 1.33333333333333 1
121 "f" "y" 2.66666666666667 2
121 "m" "f" 1.66666666666667 1
121 "m" "y" 3 2.33333333333333
121 "y" "f" 3.33333333333333 3.33333333333333
121 "y" "m" 1.33333333333333 1.66666666666667
122 "f" "m" 2 2
122 "f" "y" 2.33333333333333 2
122 "m" "f" 1 1
122 "m" "y" 1.33333333333333 1
